Year,Ceremony,Award,Winner,Name,Film
1975,48,Short Film (Live Action),1,Bert Salzman: Producer,Angel and Big Joe 
1975,48,Short Film (Live Action),,Louis Marcus: Producer,Conquest of Light 
1975,48,Short Film (Live Action),,Lawrence M. Lansburgh: Producer; Brian Lansburgh: Producer,Dawn Flight 
1975,48,Short Film (Live Action),,Barry Spinello: Producer,A Day in the Life of Bonnie Consolo 
1975,48,Short Film (Live Action),,Alan Beattie: Producer,Doubletalk 
1975,48,Sound,,"Arthur Piantadosi; Les Fresholtz; Richard Tyler, Al Overton, Jr.",Bite the Bullet 
1975,48,Sound,,Richard Portman; Don MacDougall; Curly Thirlwell; Jack Solomon,Funny Lady 
1975,48,Sound,,"Leonard Peterson; John A. Bolger, Jr.; John Mack; Don K. Sharpless",The Hindenburg 
1975,48,Sound,1,Robert L. Hoyt; Roger Heman; Earl Madery; John Carter,Jaws 
1975,48,Sound,,Harry W. Tetrick; Aaron Rochin; William McCaughey; Roy Charman,The Wind and the Lion 
1975,48,Writing (Original Screenplay),,Federico Fellini; Tonino Guerra,Amarcord 
1975,48,Writing (Original Screenplay),,Claude Lelouch; Pierre Uytterhoeven,And Now My Love 
1975,48,Writing (Original Screenplay),1,Frank Pierson,Dog Day Afternoon 
1975,48,Writing (Original Screenplay),,Ted Allan,Lies My Father Told Me 
1975,48,Writing (Original Screenplay),,Robert Towne; Warren Beatty,Shampoo 
1975,48,Writing (Screenplay Adapted from Other Material),,Stanley Kubrick,Barry Lyndon 
1975,48,Writing (Screenplay Adapted from Other Material),,John Huston; Gladys Hill,The Man Who Would Be King 
1975,48,Writing (Screenplay Adapted from Other Material),1,Lawrence Hauben; Bo Goldman,One Flew over the Cuckoo's Nest 
1975,48,Writing (Screenplay Adapted from Other Material),,Ruggero Maccari; Dino Risi,Scent of a Woman 
1975,48,Writing (Screenplay Adapted from Other Material),,Neil Simon,The Sunshine Boys 
1975,48,Special Achievement Award (Sound Effects),1,Peter Berkos,The Hindenburg 
1975,48,Special Achievement Award (Visual Effects),1,Albert Whitlock; Glen Robinson,The Hindenburg 
1976,49,Actor in a Leading Role,,Robert De Niro,Taxi Driver
1976,49,Actor in a Leading Role,1,Peter Finch,Network
1976,49,Actor in a Leading Role,,Giancarlo Giannini,Seven Beauties
1976,49,Actor in a Leading Role,,William Holden,Network
1976,49,Actor in a Leading Role,,Sylvester Stallone,Rocky
1976,49,Actor in a Supporting Role,,Ned Beatty,Network
1976,49,Actor in a Supporting Role,,Burgess Meredith,Rocky
1976,49,Actor in a Supporting Role,,Laurence Olivier,Marathon Man
1976,49,Actor in a Supporting Role,1,Jason Robards,All the President's Men
1976,49,Actor in a Supporting Role,,Burt Young,Rocky
1976,49,Actress in a Leading Role,,Marie-Christine Barrault,"Cousin, Cousine"
1976,49,Actress in a Leading Role,1,Faye Dunaway,Network
1976,49,Actress in a Leading Role,,Talia Shire,Rocky
1976,49,Actress in a Leading Role,,Sissy Spacek,Carrie
1976,49,Actress in a Leading Role,,Liv Ullmann,Face to Face
1976,49,Actress in a Supporting Role,,Jane Alexander,All the President's Men
1976,49,Actress in a Supporting Role,,Jodie Foster,Taxi Driver
1976,49,Actress in a Supporting Role,,Lee Grant,Voyage of the Damned
1976,49,Actress in a Supporting Role,,Piper Laurie,Carrie
1976,49,Actress in a Supporting Role,1,Beatrice Straight,Network
1976,49,Art Direction,1,George Jenkins: Art Direction; George Gaines: Set Decoration,All the President's Men 
1976,49,Art Direction,,Elliot Scott: Art Direction; Norman Reynolds: Art Direction; Peter Howitt: Set Decoration,The Incredible Sarah 
1976,49,Art Direction,,Gene Callahan: Art Direction; Jack Collis: Art Direction; Jerry Wunderlich: Set Decoration,The Last Tycoon 
1976,49,Art Direction,,Dale Hennesy: Art Direction; Robert de Vestel: Set Decoration,Logan's Run 
1976,49,Art Direction,,Robert F. Boyle: Art Direction; Arthur Jeph Parker: Set Decoration,The Shootist 
1976,49,Cinematography,1,Haskell Wexler,Bound for Glory 
1976,49,Cinematography,,Richard H. Kline,King Kong 
1976,49,Cinematography,,Ernest Laszlo,Logan's Run 
1976,49,Cinematography,,Owen Roizman,Network 
1976,49,Cinematography,,Robert Surtees,A Star Is Born 
1976,49,Costume Design,,William Theiss,Bound for Glory 
1976,49,Costume Design,1,Danilo Donati,Fellini's Casanova 
1976,49,Costume Design,,Anthony Mendleson,The Incredible Sarah 
1976,49,Costume Design,,Mary Wills,The Passover Plot 
1976,49,Costume Design,,Alan Barrett,The Seven-per-cent Solution 
1976,49,Directing,,Alan J. Pakula,All the President's Men 
1976,49,Directing,,Ingmar Bergman,Face to Face 
1976,49,Directing,,Sidney Lumet,Network 
1976,49,Directing,1,John G. Avildsen,Rocky 
1976,49,Directing,,Lina Wertmüller,Seven Beauties 
1976,49,Documentary (Feature),1,Barbara Kopple: Producer,"Harlan County, U.S.A. "
1976,49,Documentary (Feature),,"James Gutman: Producer; David Helpern, Jr.: Producer",Hollywood on Trial 
1976,49,Documentary (Feature),,Michael Firth: Producer,Off the Edge 
1976,49,Documentary (Feature),,Anthony Howarth: Producer; David Koff: Producer,People of the Wind 
1976,49,Documentary (Feature),,Donald Brittain: Producer; Robert Duncan: Producer,Volcano :  An Inquiry into the Life and Death of Malcolm Lowry 
1976,49,Documentary (Short Subject),,Sparky Greene: Producer,American Shoeshine 
1976,49,Documentary (Short Subject),,Tony Ianzelo: Producer; Andy Thomson: Producer,Blackwood 
1976,49,Documentary (Short Subject),,John Armstrong: Producer,The End of the Road 
1976,49,Documentary (Short Subject),1,Lynne Littman: Producer,Number Our Days 
1976,49,Documentary (Short Subject),,Lester Novros: Producer,Universe 
1976,49,Film Editing,,Robert L. Wolfe,All the President's Men 
1976,49,Film Editing,,Robert Jones; Pembroke J. Herring,Bound for Glory 
1976,49,Film Editing,,Alan Heim,Network 
1976,49,Film Editing,1,Richard Halsey; Scott Conrad,Rocky 
1976,49,Film Editing,,Eve Newman; Walter Hannemann,Two-Minute Warning 
1976,49,Foreign Language Film,1,Ivory Coast,Black and White in Color 
1976,49,Foreign Language Film,,France,"Cousin, Cousine "
1976,49,Foreign Language Film,,German Democratic Republic,"Jacob, the Liar "
1976,49,Foreign Language Film,,Poland,Nights and Days 
1976,49,Foreign Language Film,,Italy,Seven Beauties 
1976,49,Music (Original Score),,Bernard Herrmann,Obsession 
1976,49,Music (Original Score),1,Jerry Goldsmith,The Omen 
1976,49,Music (Original Score),,Jerry Fielding,The Outlaw Josey Wales 
1976,49,Music (Original Score),,Bernard Herrmann,Taxi Driver 
1976,49,Music (Original Score),,Lalo Schifrin,Voyage of the Damned 
1976,49,Music (Original Song Score and Its Adaptation or Adaptation Score),1,Leonard Rosenman: Adaptation score,Bound for Glory 
1976,49,Music (Original Song Score and Its Adaptation or Adaptation Score),,"Paul Williams: Song score, Adaptation score",Bugsy Malone 
1976,49,Music (Original Song Score and Its Adaptation or Adaptation Score),,Roger Kellaway: Adaptation score,A Star Is Born 
1976,49,Music (Original Song),,"Jerry Goldsmith: Music, Lyrics","The Omen: ""Ave Satani"""
1976,49,Music (Original Song),,Henry Mancini: Music; Don Black: Lyrics,"The Pink Panther Strikes Again: ""Come To Me"""
1976,49,Music (Original Song),1,Barbra Streisand: Music; Paul Williams: Lyrics,"A Star Is Born: ""Evergreen (Love Theme From A Star Is Born)"""
1976,49,Music (Original Song),,Bill Conti: Music; Carol Connors: Lyrics; Ayn Robbins: Lyrics,"Rocky: ""Gonna Fly Now"""
1976,49,Music (Original Song),,Sammy Fain: Music; Paul Francis Webster: Lyrics,"Half a House: ""A World That Never Was"""
1976,49,Best Picture,,Walter Coblenz: Producer,All the President's Men 
1976,49,Best Picture,,Robert F. Blumofe: Producer; Harold Leventhal: Producer,Bound for Glory 
1976,49,Best Picture,,Howard Gottfried: Producer,Network 
1976,49,Best Picture,1,Irwin Winkler: Producer; Robert Chartoff: Producer,Rocky 
1976,49,Best Picture,,Michael Phillips: Producer; Julia Phillips: Producer,Taxi Driver 
1976,49,Short Film (Animated),,Manfredo Manfredi: Producer,Dedalo 
1976,49,Short Film (Animated),1,Suzanne Baker: Producer,Leisure 
1976,49,Short Film (Animated),,Caroline Leaf: Producer; Guy Glover: Producer,The Street 
1976,49,Short Film (Live Action),1,Andre Guttfreund: Producer; Peter Werner: Producer,In the Region of Ice 
1976,49,Short Film (Live Action),,Marjorie Anne Short: Producer,Kudzu 
1976,49,Short Film (Live Action),,Julian Chagrin: Producer; Claude Chagrin: Producer,The Morning Spider 
1976,49,Short Film (Live Action),,Claire Wilbur: Producer; Robin Lehman: Producer,Nightlife 
1976,49,Short Film (Live Action),,Dyan Cannon: Producer; Vince Cannon: Producer,Number One 
1976,49,Sound,1,Arthur Piantadosi; Les Fresholtz; Dick Alexander; Jim Webb,All the President's Men 
1976,49,Sound,,Harry Warren Tetrick; William McCaughey; Aaron Rochin; Jack Solomon,King Kong 
1976,49,Sound,,Harry Warren Tetrick; William McCaughey; Lyle Burbridge; Bud Alper,Rocky 
1976,49,Sound,,Donald Mitchell; Douglas Williams; Richard Tyler; Hal Etherington,Silver Streak 
1976,49,Sound,,Robert Knudson; Dan Wallin; Robert Glass; Tom Overton,A Star Is Born 
1976,49,"Writing (Screenplay, Based on Material from Another Medium)",1,William Goldman,All the President's Men 
1976,49,"Writing (Screenplay, Based on Material from Another Medium)",,Robert Getchell,Bound for Glory 
1976,49,"Writing (Screenplay, Based on Material from Another Medium)",,Federico Fellini; Bernardino Zapponi,Fellini's Casanova 
1976,49,"Writing (Screenplay, Based on Material from Another Medium)",,Nicholas Meyer,The Seven-per-cent Solution 
1976,49,"Writing (Screenplay, Based on Material from Another Medium)",,Steve Shagan; David Butler,Voyage of the Damned 
1976,49,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,"Jean-Charles Tacchella: Story, Screenplay; Daniele Thompson: Adaptation","Cousin, Cousine "
1976,49,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,Walter Bernstein,The Front 
1976,49,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1,Paddy Chayefsky,Network 
1976,49,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,Sylvester Stallone,Rocky 
1976,49,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,Lina Wertmüller,Seven Beauties 
1976,49,Special Achievement Award (Visual Effects),1,Carlo Rambaldi; Glen Robinson; Frank Van der Veer,King Kong 
1976,49,Special Achievement Award (Visual Effects),1,L. B. Abbott; Glen Robinson; Matthew Yuricich,Logan's Run 
1977,50,Actor in a Leading Role,,Woody Allen,Annie Hall
1977,50,Actor in a Leading Role,,Richard Burton,Equus
1977,50,Actor in a Leading Role,1,Richard Dreyfuss,The Goodbye Girl
1977,50,Actor in a Leading Role,,Marcello Mastroianni,A Special Day
1977,50,Actor in a Leading Role,,John Travolta,Saturday Night Fever
1977,50,Actor in a Supporting Role,,Mikhail Baryshnikov,The Turning Point
1977,50,Actor in a Supporting Role,,Peter Firth,Equus
1977,50,Actor in a Supporting Role,,Alec Guinness,Star Wars
1977,50,Actor in a Supporting Role,1,Jason Robards,Julia
1977,50,Actor in a Supporting Role,,Maximilian Schell,Julia
1977,50,Actress in a Leading Role,,Anne Bancroft,The Turning Point
1977,50,Actress in a Leading Role,,Jane Fonda,Julia
1977,50,Actress in a Leading Role,1,Diane Keaton,Annie Hall
1977,50,Actress in a Leading Role,,Shirley MacLaine,The Turning Point
1977,50,Actress in a Leading Role,,Marsha Mason,The Goodbye Girl
1977,50,Actress in a Supporting Role,,Leslie Browne,The Turning Point
1977,50,Actress in a Supporting Role,,Quinn Cummings,The Goodbye Girl
1977,50,Actress in a Supporting Role,,Melinda Dillon,Close Encounters of the Third Kind
1977,50,Actress in a Supporting Role,1,Vanessa Redgrave,Julia
1977,50,Actress in a Supporting Role,,Tuesday Weld,Looking for Mr. Goodbar
1977,50,Art Direction,,George C. Webb: Art Direction; Mickey S. Michaels: Set Decoration,Airport '77
1977,50,Art Direction,,Joe Alves: Art Direction; Dan Lomino: Art Direction; Phil Abramson: Set Decoration,Close Encounters of the Third Kind 
1977,50,Art Direction,,Ken Adam: Art Direction; Peter Lamont: Art Direction; Hugh Scaife: Set Decoration,The Spy Who Loved Me 
1977,50,Art Direction,1,John Barry: Art Direction; Norman Reynolds: Art Direction; Leslie Dilley: Art Direction; Roger Christian: Set Decoration,Star Wars 
1977,50,Art Direction,,Albert Brenner: Art Direction; Marvin March: Set Decoration,The Turning Point 
1977,50,Cinematography,1,Vilmos Zsigmond,Close Encounters of the Third Kind 
1977,50,Cinematography,,Fred J. Koenekamp,Islands in the Stream 
1977,50,Cinematography,,Douglas Slocombe,Julia 
1977,50,Cinematography,,William A. Fraker,Looking for Mr. Goodbar 
1977,50,Cinematography,,Robert Surtees,The Turning Point 
1977,50,Costume Design,,Edith Head; Burton Miller,Airport '77
1977,50,Costume Design,,Anthea Sylbert,Julia 
1977,50,Costume Design,,Florence Klotz,A Little Night Music 
1977,50,Costume Design,,Irene Sharaff,The Other Side of Midnight 
1977,50,Costume Design,1,John Mollo,Star Wars 
1977,50,Directing,1,Woody Allen,Annie Hall 
1977,50,Directing,,Steven Spielberg,Close Encounters of the Third Kind 
1977,50,Directing,,Fred Zinnemann,Julia 
1977,50,Directing,,George Lucas,Star Wars 
1977,50,Directing,,Herbert Ross,The Turning Point 
1977,50,Documentary (Feature),,Robert Dornhelm: Producer; Earle Mack: Producer,The Children of Theatre Street 
1977,50,Documentary (Feature),,Bill Brind: Producer; Torben Schioler: Producer; Tony Ianzelo: Producer,High Grass Circus 
1977,50,Documentary (Feature),,Harry Rasky: Producer,Homage to Chagall--The Colours of Love 
1977,50,Documentary (Feature),,James Klein: Producer; Julia Reichert: Producer; Miles Mogulescu: Producer,Union Maids 
1977,50,Documentary (Feature),1,John Korty: Producer; Dan McCann: Producer; Warren L. Lockhart: Producer,Who Are the DeBolts? And Where Did They Get Nineteen Kids? 
1977,50,Documentary (Short Subject),,Moctesuma Esparza: Producer,"Agueda Martinez : Our People, Our Country "
1977,50,Documentary (Short Subject),,"Helen Whitney: Producer; DeWitt L. Sage, Jr.: Producer",First Edition 
1977,50,Documentary (Short Subject),1,John Joseph: Producer; Jan Stussy: Producer,Gravity Is My Enemy 
1977,50,Documentary (Short Subject),,James R. Messenger: Producer; Paul N. Raimondi: Producer,"Of Time, Tombs and Treasure "
1977,50,Documentary (Short Subject),,Douglas Gordon: Producer,The Shetland Experience 
1977,50,Film Editing,,Michael Kahn,Close Encounters of the Third Kind 
1977,50,Film Editing,,Walter Murch,Julia 
1977,50,Film Editing,,Walter Hannemann; Angelo Ross,Smokey and the Bandit 
1977,50,Film Editing,1,Paul Hirsch; Marcia Lucas; Richard Chew,Star Wars 
1977,50,Film Editing,,William Reynolds,The Turning Point 
1977,50,Foreign Language Film,,Greece,Iphigenia 
1977,50,Foreign Language Film,1,France,Madame Rosa 
1977,50,Foreign Language Film,,Israel,Operation Thunderbolt 
1977,50,Foreign Language Film,,Italy,A Special Day 
1977,50,Foreign Language Film,,Spain,That Obscure Object of Desire 
1977,50,Music (Original Score),,John Williams,Close Encounters of the Third Kind 
1977,50,Music (Original Score),,Georges Delerue,Julia 
1977,50,Music (Original Score),,Maurice Jarre,Mohammad - Messenger of God 
1977,50,Music (Original Score),,Marvin Hamlisch,The Spy Who Loved Me 
1977,50,Music (Original Score),1,John Williams,Star Wars 
1977,50,Music (Original Song Score and Its Adaptation or Adaptation Score),1,Jonathan Tunick: Adaptation score,A Little Night Music 
1977,50,Music (Original Song Score and Its Adaptation or Adaptation Score),,Al Kasha: Song score; Joel Hirschhorn: Song score; Irwin Kostal: Adaptation score,Pete's Dragon 
1977,50,Music (Original Song Score and Its Adaptation or Adaptation Score),,Richard M. Sherman: Song score; Robert B. Sherman: Song score; Angela Morley: Adaptation score,The Slipper and the Rose--The Story of Cinderella 
1977,50,Music (Original Song),,"Al Kasha: Music, Lyrics; Joel Hirschhorn: Music, Lyrics","Pete's Dragon: ""Candle On The Water"""
1977,50,Music (Original Song),,Marvin Hamlisch: Music; Carole Bayer Sager: Lyrics,"The Spy Who Loved Me: ""Nobody Does It Better"""
1977,50,Music (Original Song),,"Richard M. Sherman: Music, Lyrics; Robert B. Sherman: Music, Lyrics","The Slipper and the Rose--The Story of Cinderella: ""The Slipper And The Rose Waltz (He Danced With Me/She Danced With Me)"""
1977,50,Music (Original Song),,Sammy Fain: Music; Carol Connors: Lyrics; Ayn Robbins: Lyrics,"The Rescuers: ""Someone's Waiting For You"""
1977,50,Music (Original Song),1,"Joseph Brooks: Music, Lyrics","You Light Up My Life: ""You Light Up My Life"""
1977,50,Best Picture,1,Charles H. Joffe: Producer,Annie Hall 
1977,50,Best Picture,,Ray Stark: Producer,The Goodbye Girl 
1977,50,Best Picture,,Richard Roth: Producer,Julia 
1977,50,Best Picture,,Gary Kurtz: Producer,Star Wars 
1977,50,Best Picture,,Herbert Ross: Producer; Arthur Laurents: Producer,The Turning Point 
1977,50,Short Film (Animated),,Ishu Patel: Producer,The Bead Game 
1977,50,Short Film (Animated),,John Hubley: Producer; Faith Hubley: Producer; Garry Trudeau: Producer,The Doonesbury Special 
1977,50,Short Film (Animated),,James Picker: Producer; Robert Grossman: Producer; Craig Whitaker: Producer,Jimmy the C 
1977,50,Short Film (Animated),1,Co Hoedeman: Producer,The Sand Castle 
1977,50,Short Film (Live Action),,William E. McEuen: Producer,The Absent-Minded Waiter 
1977,50,Short Film (Live Action),,Jerry Butts: Producer,Floating Free 
1977,50,Short Film (Live Action),1,Beverly Shaffer: Producer; Yuki Yoshida: Producer,I'll Find a Way 
1977,50,Short Film (Live Action),,Saul Bass: Producer,Notes on the Popular Arts 
1977,50,Short Film (Live Action),,Philip Dauber: Producer,Spaceborne 
1977,50,Sound,,Robert Knudson; Robert J. Glass; Don MacDougall; Gene S. Cantamessa,Close Encounters of the Third Kind 
1977,50,Sound,,Walter Goss; Dick Alexander; Tom Beckert; Robin Gregory,The Deep 
1977,50,Sound,,Robert Knudson; Robert J. Glass; Richard Tyler; Jean-Louis Ducarme,Sorcerer 
1977,50,Sound,1,Don MacDougall; Ray West; Bob Minkler; Derek Ball,Star Wars 
1977,50,Sound,,Theodore Soderberg; Paul Wells; Douglas O. Williams; Jerry Jost,The Turning Point 
1977,50,Visual Effects,,Roy Arbogast; Douglas Trumbull; Matthew Yuricich; Gregory Jein; Richard Yuricich,Close Encounters of the Third Kind 
1977,50,Visual Effects,1,John Stears; John Dykstra; Richard Edlund; Grant McCune; Robert Blalack,Star Wars 
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",,Peter Shaffer,Equus 
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",,Gavin Lambert; Lewis John Carlino,I Never Promised You a Rose Garden 
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",1,Alvin Sargent,Julia 
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",,Larry Gelbart,"Oh, God! "
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",,Luis Buñuel; Jean-Claude Carrière,That Obscure Object of Desire 
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1,Woody Allen; Marshall Brickman,Annie Hall 
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,Neil Simon,The Goodbye Girl 
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,Robert Benton,The Late Show 
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,George Lucas,Star Wars 
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",,Arthur Laurents,The Turning Point 
1977,50,Special Achievement Award,1,Star Wars,"Benjamin Burtt, Jr."
1977,50,Special Achievement Award (Sound Effects Editing),1,Frank E. Warner,Close Encounters of the Third Kind 
1978,51,Actor in a Leading Role,,Warren Beatty,Heaven Can Wait
1978,51,Actor in a Leading Role,,Gary Busey,The Buddy Holly Story
1978,51,Actor in a Leading Role,,Robert De Niro,The Deer Hunter
1978,51,Actor in a Leading Role,,Laurence Olivier,The Boys from Brazil
1978,51,Actor in a Leading Role,1,Jon Voight,Coming Home
1978,51,Actor in a Supporting Role,,Bruce Dern,Coming Home
1978,51,Actor in a Supporting Role,,Richard Farnsworth,Comes a Horseman
1978,51,Actor in a Supporting Role,,John Hurt,Midnight Express
1978,51,Actor in a Supporting Role,1,Christopher Walken,The Deer Hunter
1978,51,Actor in a Supporting Role,,Jack Warden,Heaven Can Wait
1978,51,Actress in a Leading Role,,Ingrid Bergman,Autumn Sonata
1978,51,Actress in a Leading Role,,Ellen Burstyn,"Same Time, Next Year"
1978,51,Actress in a Leading Role,,Jill Clayburgh,An Unmarried Woman
1978,51,Actress in a Leading Role,1,Jane Fonda,Coming Home
1978,51,Actress in a Leading Role,,Geraldine Page,Interiors
1978,51,Actress in a Supporting Role,,Dyan Cannon,Heaven Can Wait
1978,51,Actress in a Supporting Role,,Penelope Milford,Coming Home
1978,51,Actress in a Supporting Role,1,Maggie Smith,California Suite
1978,51,Actress in a Supporting Role,,Maureen Stapleton,Interiors
1978,51,Actress in a Supporting Role,,Meryl Streep,The Deer Hunter
1978,51,Art Direction,,Dean Tavoularis: Art Direction; Angelo Graham: Art Direction; George R. Nelson: Set Decoration; Bruce Kay: Set Decoration,The Brink's Job 
1978,51,Art Direction,,Albert Brenner: Art Direction; Marvin March: Set Decoration,California Suite 
1978,51,Art Direction,1,Paul Sylbert: Art Direction; Edwin O'Donovan: Art Direction; George Gaines: Set Decoration,Heaven Can Wait 
1978,51,Art Direction,,Mel Bourne: Art Direction; Daniel Robert: Set Decoration,Interiors 
1978,51,Art Direction,,Tony Walton: Art Direction; Philip Rosenberg: Art Direction; Edward Stewart: Set Decoration; Robert Drumheller: Set Decoration,The Wiz 
1978,51,Cinematography,1,Nestor Almendros,Days of Heaven 
1978,51,Cinematography,,Vilmos Zsigmond,The Deer Hunter 
1978,51,Cinematography,,William A. Fraker,Heaven Can Wait 
1978,51,Cinematography,,Robert Surtees,"Same Time, Next Year "
1978,51,Cinematography,,Oswald Morris,The Wiz 
1978,51,Costume Design,,Renie Conley,Caravans 
1978,51,Costume Design,,Patricia Norris,Days of Heaven 
1978,51,Costume Design,1,Anthony Powell,Death on the Nile 
1978,51,Costume Design,,Paul Zastupnevich,The Swarm 
1978,51,Costume Design,,Tony Walton,The Wiz 
1978,51,Directing,,Hal Ashby,Coming Home 
1978,51,Directing,1,Michael Cimino,The Deer Hunter 
1978,51,Directing,,Warren Beatty; Buck Henry,Heaven Can Wait 
1978,51,Directing,,Woody Allen,Interiors 
1978,51,Directing,,Alan Parker,Midnight Express 
1978,51,Documentary (Feature),,Albert Lamorisse: Producer,The Lovers' Wind 
1978,51,Documentary (Feature),,Alan Root: Producer,Mysterious Castles of Clay 
1978,51,Documentary (Feature),,Jean-Pierre Dutilleux: Producer; Barry Williams: Producer; Michel Gast: Producer,Raoni 
1978,51,Documentary (Feature),1,Arnold Shapiro: Producer,Scared Straight! 
1978,51,Documentary (Feature),,Anne Bohlen: Producer; Lyn Goldfarb: Producer; Lorraine Gray: Producer,With Babies and Banners : Story of the Women's Emergency Brigade 
1978,51,Documentary (Short Subject),,Jerry Aronson: Producer,The Divided Trail : A Native American Odyssey 
1978,51,Documentary (Short Subject),,K.K. Kapil: Producer,An Encounter with Faces 
1978,51,Documentary (Short Subject),1,Jacqueline Phillips Shedd: Producer; Ben Shedd: Producer,The Flight of the Gossamer Condor 
1978,51,Documentary (Short Subject),,August Cinquegrana: Producer,Goodnight Miss Ann 
1978,51,Documentary (Short Subject),,J. Gary Mitchell: Producer,Squires of San Quentin 
1978,51,Film Editing,,Robert E. Swink,The Boys from Brazil 
1978,51,Film Editing,,Don Zimmerman,Coming Home 
1978,51,Film Editing,1,Peter Zinner,The Deer Hunter 
1978,51,Film Editing,,Gerry Hambling,Midnight Express 
1978,51,Film Editing,,Stuart Baird,Superman 
1978,51,Foreign Language Film,1,France,Get Out Your Handkerchiefs 
1978,51,Foreign Language Film,,German Federal Republic,The Glass Cell 
1978,51,Foreign Language Film,,Hungary,Hungarians 
1978,51,Foreign Language Film,,Italy,Viva Italia! 
1978,51,Foreign Language Film,,Union of Soviet Socialist Republics,White Bim Black Ear 
1978,51,Music (Adaptation Score),1,Joe Renzetti,The Buddy Holly Story 
1978,51,Music (Adaptation Score),,Jerry Wexler,Pretty Baby 
1978,51,Music (Adaptation Score),,Quincy Jones,The Wiz 
1978,51,Music (Original Score),,Jerry Goldsmith,The Boys from Brazil 
1978,51,Music (Original Score),,Ennio Morricone,Days of Heaven 
1978,51,Music (Original Score),,Dave Grusin,Heaven Can Wait 
1978,51,Music (Original Score),1,Giorgio Moroder,Midnight Express 
1978,51,Music (Original Score),,John Williams,Superman 
1978,51,Music (Original Song),,"John Farrar: Music, Lyrics","Grease: ""Hopelessly Devoted To You"""
1978,51,Music (Original Song),1,"Paul Jabara: Music, Lyrics","Thank God It's Friday: ""Last Dance"""
1978,51,Music (Original Song),,Marvin Hamlisch: Music; Alan Bergman: Lyrics; Marilyn Bergman: Lyrics,"Same Time, Next Year: ""The Last Time I Felt Like This"""
1978,51,Music (Original Song),,Charles Fox: Music; Norman Gimbel: Lyrics,"Foul Play: ""Ready To Take A Chance Again"""
1978,51,Music (Original Song),,"Richard M. Sherman: Music, Lyrics; Robert B. Sherman: Music, Lyrics","The Magic of Lassie: ""When You're Loved"""
1978,51,Best Picture,,Jerome Hellman: Producer,Coming Home 
1978,51,Best Picture,1,Barry Spikings: Producer; Michael Deeley: Producer; Michael Cimino: Producer; John Peverall: Producer,The Deer Hunter 
1978,51,Best Picture,,Warren Beatty: Producer,Heaven Can Wait 
1978,51,Best Picture,,Alan Marshall: Producer; David Puttnam: Producer,Midnight Express 
1978,51,Best Picture,,Paul Mazursky: Producer; Tony Ray: Producer,An Unmarried Woman 
1978,51,Short Film (Animated),,Nico Crama: Producer,Oh My Darling 
1978,51,Short Film (Animated),,Will Vinton: Producer,Rip Van Winkle 
1978,51,Short Film (Animated),1,Eunice Macaulay: Producer; John Weldon: Producer,Special Delivery 
1978,51,Short Film (Live Action),,Jim Belcher: Producer; Fern Field: Producer,A Different Approach 
1978,51,Short Film (Live Action),,Andrew Sugerman: Producer,Mandy's Grandmother 
1978,51,Short Film (Live Action),,Seth Pinsker: Producer,Strange Fruit 
1978,51,Short Film (Live Action),1,Taylor Hackford: Producer,Teenage Father 
1978,51,Sound,,Tex Rudloff; Joel Fein; Curly Thirlwell; Willie Burton,The Buddy Holly Story 
1978,51,Sound,,"John K. Wilkinson; Robert W. Glass, Jr.; John T. Reitz; Barry Thomas",Days of Heaven 
1978,51,Sound,1,Richard Portman; William McCaughey; Aaron Rochin; Darin Knight,The Deer Hunter 
1978,51,Sound,,Robert Knudson; Robert J. Glass; Don MacDougall; Jack Solomon,Hooper 
1978,51,Sound,,Gordon K. McCallum; Graham Hartstone; Nicolas Le Messurier; Roy Charman,Superman 
1978,51,Writing (Screenplay Based on Material from Another Medium),,Walter Newman,Bloodbrothers 
1978,51,Writing (Screenplay Based on Material from Another Medium),,Neil Simon,California Suite 
1978,51,Writing (Screenplay Based on Material from Another Medium),,Elaine May; Warren Beatty,Heaven Can Wait 
1978,51,Writing (Screenplay Based on Material from Another Medium),1,Oliver Stone,Midnight Express 
